path,text
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0000_000000000-000022911.wav,هاي رنا عفوا تاخرت لاوصل بس طولت للقيت سرفيس ولا يهمك مريم ما حسيت بالوقت كنت قاعده عم بقرا مقال عن حياه جبران خليل جبران فيه كتير تفاصيل اول مره بعرفا عنو ما عندي مانع ابدا نتذكر شويه معلومات عن جبران وحياتو
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0001_000023940-000025503.wav,عظيم عن
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0002_000028959-000054992.wav,خلق جبران ب بلده بشري بشمال لبنان سنه ال ألف و ثمانمائة و ثلاثة و ثمانون انا زايرتا للضيعه طبيعه بتجنن فيا وفيا شجر وخضار كيف ما برمتي جبران خلق بعيله فقيره وتعلم بمدرسه الضيعه كان واضح انو هالطفل عندو مواهب رسم مميزه وصار استاذو يشجعو لينمي موهبتو
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0003_000057569-000063807.wav,بسبب هالفقر هاجر مع عيلته باستن بامريكا كان عمره شي عشره او
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0004_000065099-000066879.wav,مزبوط
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0005_000068219-000090419.wav,كان عمرو اثنا عشر بسنه ألف و ثمانمائة و خمسة و تسعون و هونيك بلشت تظهر موهبتو بالادب لتبلش مسيرتو الادبيه بعدين هالهجره سمحتلو كمان انو يكتب باللغتين العربيه والانكليزيه بنفس القوه و الابداع وتميز بالكتابه عن الحب والدين والفلسفه
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0006_000090620-000103360.wav,واكيد ذاكرين انو صار يعتبر احد رموز عصر النهضه العربيه للادب العربي الحديث وخاصه بالشعر النثري او يعني الشعر الحر اللي مش موزون و عالقافيه
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0007_000104580-000121540.wav,اكيد ما كان اساتذتو اهتمو فيه كتير وقدر يعمل اول معرض رسم سنه ألف و تسعمائة و أربعة بجامعه كامبريدج ببريطانيا وكان عمرو بس واحد و عشرون سنه
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0008_000122815-000144360.wav,اول كتاب الو سمي الموسيقي ومن بعده كتاب عرائس المروج واللي كان فيه ثوره وهجوم علي التعصب الديني والفوارق الاجتماعيه بين الناس يعني انجازات كبيره بعمر صغير بتدل علي عبقريه جبران خليل جبران
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0009_000144360-000152360.wav,مش هو قبل اول معرض الو رجع علبنان وعاش أربعة سنين ليتلعم و يتقن اللغه العربيه مبلا
C:\Users\user\Desktop\audio\audio\000_episode-95-gibran-khalil-gibran\9903480-gibran-khalil-gibran_chunk0010_000154008-000178679.wav,ورجع بعد لبنان علي بوسطن ومن بعدا انتقل لل عاصمه الفرنسيه باريس سنه ألف و تسعمائة و ثمانية والتحق ب معهد الفنون الجميله درس هونيك فن التصوير والرسم و النحت ونشر كتاب الارواح المتمرده ومن بعد باريس انتقل عنيويورك و نشر روايه الاجنحه المتكسره
